Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,55.000000,57.340000,54.919998,56.599998,54.781605,27985600
2019-03-18,56.619999,57.189999,56.439999,56.830002,55.004223,13089300
2019-03-19,57.169998,57.680000,56.779999,56.970001,55.139721,9363700
2019-03-20,57.029999,57.689999,56.750000,57.160000,55.323612,8804800
2019-03-21,57.230000,58.279999,57.200001,57.770000,55.914017,19542700
2019-03-22,57.680000,58.090000,56.750000,56.820000,54.994534,10243500
2019-03-25,56.580002,56.939999,56.070000,56.639999,54.820316,6929600
2019-03-26,57.150002,58.389999,56.669998,58.000000,56.136627,16051800
2019-03-27,57.349998,57.669998,56.320000,56.910000,55.081646,11934400
2019-03-28,57.029999,57.389999,56.340000,56.549999,54.733212,11064300
2019-03-29,57.000000,57.560001,56.939999,57.029999,55.197788,8529100
2019-04-01,57.639999,58.150002,57.110001,57.810001,55.952732,12066500
2019-04-02,57.980000,58.529999,57.660000,58.090000,56.223736,7614500
2019-04-03,58.200001,58.290001,57.180000,57.680000,55.826904,11563400
2019-04-04,57.750000,58.610001,57.689999,57.860001,56.001125,9905100
2019-04-05,57.980000,58.189999,57.689999,57.990002,56.126949,12332600
2019-04-08,57.790001,58.490002,57.509998,57.759998,55.904335,8942400
2019-04-09,57.570000,57.660000,57.029999,57.439999,55.594620,11713400
2019-04-10,57.709999,57.860001,56.099998,56.330002,54.520279,15976500
2019-04-11,56.439999,56.900002,55.790001,55.900002,54.104095,13903800
2019-04-12,56.279999,57.169998,56.070000,56.950001,55.120361,13483500
2019-04-15,57.139999,57.669998,57.029999,57.180000,55.342976,10712500
2019-04-16,57.459999,71.029999,57.290001,70.449997,68.186638,86755900
2019-04-17,78.820000,82.519997,76.489998,79.080002,76.539383,156019300
2019-04-18,78.720001,80.199997,78.019997,79.889999,77.323357,41621200
2019-04-22,79.830002,82.500000,79.339996,81.970001,79.336540,33292500
2019-04-23,83.900002,87.959999,83.269997,86.720001,83.933937,56973700
2019-04-24,87.040001,88.629997,85.300003,86.830002,84.040398,40290400
2019-04-25,86.169998,86.320000,84.519997,85.070000,82.336945,20732200
2019-04-26,84.510002,86.760002,84.209999,86.639999,83.856506,18860600
2019-04-29,86.400002,87.980003,85.839996,87.250000,84.446907,17930000
